card_id,qr_identity,candidate_uk_qr_url,candidate_au_qr_url,current_mapped_year,authoritative_observed_year,year_verification_confidence,physical_print_observed,discrepancy_status,official_uk_sku,official_uk_spotify_track_id,official_au_sku,official_au_spotify_track_id,playlist_spotify_track_id,playlist_title,playlist_artist,identity_confidence,source_evidence,non_authoritative_bopster_year,non_authoritative_musicbrainz_year,screening_flags
11,00011,https://hitstergame.com/uk/aaaa0005/00011,https://hitstergame.com/au/aaah0001/00011,1969,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4MLBqAEzNN89o2M9h92Z26,aaah0001,4MLBqAEzNN89o2M9h92Z26,4MLBqAEzNN89o2M9h92Z26,Get Back - Remastered 2009,The Beatles,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00011; ordered title reference: https://open.spotify.com/track/4MLBqAEzNN89o2M9h92Z26; printed-year evidence: not available,1970,1969,community_bopster_year_differs
12,00012,https://hitstergame.com/uk/aaaa0005/00012,https://hitstergame.com/au/aaah0001/00012,1989,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1NCuYqMc8hKMb4cpNTcJbD,aaah0001,1NCuYqMc8hKMb4cpNTcJbD,1NCuYqMc8hKMb4cpNTcJbD,Another Day in Paradise - 2016 Remaster,Phil Collins,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00012; ordered title reference: https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD; printed-year evidence: not available,1989,1989,none
13,00013,https://hitstergame.com/uk/aaaa0005/00013,https://hitstergame.com/au/aaah0001/00013,1984,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1FvDJ9KGxcqwv1utyPL3JZ,aaah0001,1FvDJ9KGxcqwv1utyPL3JZ,1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,The Smiths,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00013; ordered title reference: https://open.spotify.com/track/1FvDJ9KGxcqwv1utyPL3JZ; printed-year evidence: not available,1984,1983,musicbrainz_candidate_differs
14,00014,https://hitstergame.com/uk/aaaa0005/00014,https://hitstergame.com/au/aaah0001/00014,1984,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1ZPlNanZsJSPK5h9YZZFbZ,aaah0001,1ZPlNanZsJSPK5h9YZZFbZ,1ZPlNanZsJSPK5h9YZZFbZ,Like a Virgin,Madonna,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00014; ordered title reference: https://open.spotify.com/track/1ZPlNanZsJSPK5h9YZZFbZ; printed-year evidence: not available,1984,1984,none
15,00015,https://hitstergame.com/uk/aaaa0005/00015,https://hitstergame.com/au/aaah0001/00015,1992,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2EoIt9vdgFRNW03u5IvFsQ,aaah0001,2EoIt9vdgFRNW03u5IvFsQ,2EoIt9vdgFRNW03u5IvFsQ,Achy Breaky Heart,Billy Ray Cyrus,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00015; ordered title reference: https://open.spotify.com/track/2EoIt9vdgFRNW03u5IvFsQ; printed-year evidence: not available,1992,1992,none
16,00016,https://hitstergame.com/uk/aaaa0005/00016,https://hitstergame.com/au/aaah0001/00016,2005,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,0Gsj2iZerDbXbU0G1IHuB2,aaah0001,0Gsj2iZerDbXbU0G1IHuB2,0Gsj2iZerDbXbU0G1IHuB2,Gold Digger,Kanye West,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00016; ordered title reference: https://open.spotify.com/track/0Gsj2iZerDbXbU0G1IHuB2; printed-year evidence: not available,2005,2006,musicbrainz_candidate_differs
17,00017,https://hitstergame.com/uk/aaaa0005/00017,https://hitstergame.com/au/aaah0001/00017,1983,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,6oWLiyRpo1ibp2vKNxHG0T,aaah0001,6oWLiyRpo1ibp2vKNxHG0T,6oWLiyRpo1ibp2vKNxHG0T,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00017; ordered title reference: https://open.spotify.com/track/6oWLiyRpo1ibp2vKNxHG0T; printed-year evidence: not available,1983,1982,musicbrainz_candidate_differs
18,00018,https://hitstergame.com/uk/aaaa0005/00018,https://hitstergame.com/au/aaah0001/00018,1988,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2M9ro2krNb7nr7HSprkEgo,aaah0001,2M9ro2krNb7nr7HSprkEgo,2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00018; ordered title reference: https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo; printed-year evidence: not available,1988,1988,none
19,00019,https://hitstergame.com/uk/aaaa0005/00019,https://hitstergame.com/au/aaah0001/00019,2016,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,58zsLZPvfflaiIbNWoA22O,aaah0001,58zsLZPvfflaiIbNWoA22O,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00019; ordered title reference: https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O; printed-year evidence: not available,2017,,community_bopster_year_differs;musicbrainz_candidate_unresolved
20,00020,https://hitstergame.com/uk/aaaa0005/00020,https://hitstergame.com/au/aaah0001/00020,1960,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,4aTCNddtjztjuK2EOgz7ZZ,aaah0001,4aTCNddtjztjuK2EOgz7ZZ,4aTCNddtjztjuK2EOgz7ZZ,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00020; ordered title reference: https://open.spotify.com/track/4aTCNddtjztjuK2EOgz7ZZ; printed-year evidence: not available,1961,1960,community_bopster_year_differs
21,00021,https://hitstergame.com/uk/aaaa0005/00021,https://hitstergame.com/au/aaah0001/00021,2017,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2LPUvD5DDOO4UYGkWgjI2C,aaah0001,2LPUvD5DDOO4UYGkWgjI2C,2LPUvD5DDOO4UYGkWgjI2C,Shut Up,Stormzy,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00021; ordered title reference: https://open.spotify.com/track/2LPUvD5DDOO4UYGkWgjI2C; printed-year evidence: not available,2017,2016,musicbrainz_candidate_differs
